Asking for Answers,Not Asking for Answers
"Hey, what's the answer for",How do I solve
Anyone have a key?,how do I work this problem
whats the answer for,how do I solve
answers pls,anyone understand how
Please give me the answers for,wanna study together
give me  the answer to,wanna hang out
whats the answer to,Do you want to study together?
can you just tell me what it is,how does this work
answers for,do you know what room 
just tell me the answers to,im having trouble on 
"hey, can I see your work",can you help me on 
can I see your homework,how do I answer this problem
Gimmie your homework,help???
can you give me answers for my homework,I don’t understand how
can you give me some answers for homework,yo theres pizza in 
can you please give me answers for homework,Ive worked on this for 
Homework answers,how is your day going
homework answers now,broo the engineering is cool ash
homework answers now please,job fair tomorrow
can you give me answers for homework now,where is our class
can you give me answers for my homework now,is there class tommorow
Can you please give me some answers for homework,hold on 
could you answer this for me,who is joes class
can you tell me what this problem is ,what happened
whats the answer here,its okay
whats the answer to this problem,im doing good